House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status,,,
1614,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FH89,F 1604 57TH AV E,1614 57TH AV E,,,,
1624,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FO21,F 1624 57TH AV E,1624 57TH AV E,,,,
1640,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FCC6,F 1624 57TH AV E,1640 57TH AV E,,,,
1648,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FD0I,F 1655 57TH AV E,1648 57TH AV E,,,,
1649,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FD7X,F 1655 57TH AV E,1649 57TH AV E,,,,
1649,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FD7X,F 18 NORRIS CIR,1649 57TH AV E,,,,
1655,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FGI9,F 1655 57TH AV E,1655 57TH AV E,,,,
1656,57TH AV E,TUSCALOOSA,35404,,,,,,,210402,000010FDCV,F 1655 57TH AV E,1656 57TH AV E,,,,
1533,58TH AV E,COTTONDALE,35453,,,,,,,210402,000010FSQB,F 1601 58TH AV E,1533 58TH AV E,,,,
1605,58TH AV E,COTTONDALE,35453,,,,,,,210402,000010FUWS,F 1619 58TH AV E,1605 58TH AV E,,,,
1606,58TH AV E,COTTONDALE,35453,,,,,,,210402,000010FV90,F 1619 58TH AV E,1606 58TH AV E,,,,
1615,58TH AV E,COTTONDALE,35453,,,,,,,210402,000010FS6V,F 1619 58TH AV E,1615 58TH AV E,,,,
1618,58TH AV E,COTTONDALE,35453,,,,,,,210402,000010FVUE,F 1619 58TH AV E,1618 58TH AV E,,,,
1619,58TH AV E,COTTONDALE,35453,,,,,,,210402,000010FSFQ,F 1619 58TH AV E,1619 58TH AV E,,,,
1626,58TH AV E,COTTONDALE,35453,,,,,,,210402,000010FXNE,F 1701 58TH AV E,1626 58TH AV E,,,,
1631,58TH AV E,COTTONDALE,35453,,,,,,,210402,000010FV8W,F 1701 58TH AV E,1631 58TH AV E,,,,
1638,58TH AV E,COTTONDALE,35453,,,,,,,210402,000010FT6D,F 1701 58TH AV E,1638 58TH AV E,,,,
1639,58TH AV E,COTTONDALE,35453,,,,,,,210402,000010FWMP,F 1701 58TH AV E,1639 58TH AV E,,,,
1502,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FTP2,F 53 NORRIS CIR,1502 59TH AV E,,,,
1519,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FUWC,F 51 NORRIS CIR,1519 59TH AV E,,,,
1529,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FX6C,F 53 NORRIS CIR,1529 59TH AV E,,,,
1530,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FRMZ,F 53 NORRIS CIR,1530 59TH AV E,,,,
1602,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FX2M,F 51 NORRIS CIR,1602 59TH AV E,,,,
1603,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FWUT,F 51 NORRIS CIR,1603 59TH AV E,,,,
1610,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FRGC,F 51 NORRIS CIR,1610 59TH AV E,,,,
1611,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FWVL,F 51 NORRIS CIR,1611 59TH AV E,,,,
1616,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FSWI,F 49 NORRIS CIR,1616 59TH AV E,,,,
1617,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FXLT,F 49 NORRIS CIR,1617 59TH AV E,,,,
1622,59TH AV E,COTTONDALE,35453,,,,,,,210402,000010FRU2,F 49 NORRIS CIR,1622 59TH AV E,,,,
